friends_count,followers_count,tidy_tweet,tweet_source,tidy_Location
6487,6054,feel like this country would have improved drastically only president yaradua could have said today,Iphone,Everywhere
1754,1574,betting barcelona football https rgof abdqn,Android,
4944,4930,betting barcelona football https rgof abdqn,Iphone,Serving
474,495,years tinubu oshiomole desmond elliot mobilized abused attacked jonathan during occupy nigeria protest,Iphone,Abuja  Nigeria
1477,483,sitting office talk will next month because fully booked #wenogetpresident https cuof,Android,Nigeria
487,226,this what they best protect even with human ritual they protect nigerian life https,Android,Lagoz  Nigeria 
8031,11561,solution xenophobic attack nigerians living south africa since #wenogetpresident expel south african ambassad,Web App,Lagos  Nigeria 
897,520,buhari your juniors zambia malawi presidents making incisive decisions your stay lifeless like scare,Android,Ghana W  Central Africa  Gmt 
4610,3223,save bigbrother south african this year like this biggie morning house mates,Android,In a Galaxy far far away
507,595,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Iphone,Detroit  MI
399,98,only person could impeach sitting president would have carried long time #wenogetpresident,Web App,
208,13,#xenophobiainsouthafrica,Android,
648,1318,angry nigerian youth lynching random innocent people looting businesses most which owned nigerians https ojglcipze,Android,Lagos 
4,45,agege nnamani decry attacks nigerians read more https gcoip #saynotoxenophobia https iaqy,First Reports,Uyo  Nigeria
83,20,#xenophobiainsouthafrica #wenogetpresident #burnaboy #wizkid #ycee #mtnmustgo https ekhtph,Web App,Adamawa  Nigeria
4987,3500,abacha still alive #wenogetpresident https fcmxznale,Android,Lagos  Nigeria
6487,6054,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Iphone,Everywhere
898,637,beginning look serious #wenogetpresident https inmi,Android,
668,690,#wenogetpresident,Android,ETERNAL BLISS
479,496,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Android,Lagos Nigeria
1595,1113,nigerians aren done fresh pictures from akwa ibom mass fire while they start borro,Mobile Web  M,Abuja
873,393,imagine politicians were corrupt none would have traveled survival first place this https xehfsd,Web App,Lagos  Nigeria
1552,1823,life been breathed into president,Android, st Heaven
6487,6054,buhari only reacts anything that threatens government ipob shite sowore #wenogetpresident,Iphone,Everywhere
499,809,special envoy their south africa #buharimustgo #wenogetpresident #wizkid #phyno #zlatan https anjlfkmhv,Android,Nigeria 
1958,323,#wenogetpresident #brexitmehole #soarwithwheein https npev xfchw,Android,     
1455,2285,dear your officers supposed using robber bullet killing nigerian citize,Android,Abuja  Nigeria
1049,2167,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Iphone,Lagos  Nigeria
227,95,nigeria economy working there will need leave nigeria unless vacation #wenogetpresident,Android,
12752,12000,people that voted twice tweeting #wenogetpresident,Iphone,Kaduna  Nigeria
155,82,,Android,Akwa Ibom  Nigeria
4230,2030,people pushed nigerian government recall nigerian ambassador south africa what about citizens there,Android,Nigeria
4338,4230,indeed there country https talt,Android,Nigeria
2090,2326,zambian join #xenophobiainsouthafrica #wenogetpresident #saynotoxenophobia https gsovif,Android,Lagos  Nigeria 
284,538,people want buhari grow balls asking general time laugh even when head state,Android,Kaduna  Nigeria
502,617,even trump future black south africans worst humans planet earth #wenogetpresident https,Android,Lagos  Nigeria
238,1362,those people preaching preaching when other people venting pray never gets door step trauma that,Android,Itinerant
4987,3500,have never been president simply because read about past here caught,Android,Lagos  Nigeria
898,637,#xenophobia nigeria recalls ambassador south africa pull https #wenogetpresident,Android,
1838,1865,zambian join #xenophobiainsouthafrica #wenogetpresident #saynotoxenophobia https gsovif,Web App,Lagos 
8224,13562,another video inspired this your problem prolly bigger than video others,Android,Port Harcourt  Nigeria
365,63,they knew great country before anymore #wenogetpresident https lvve,Android,Planet Earth
67,58,globacom like #wenogetpresident #stopkillingnigeriansinsa #saynotoxenophobia https eizko,Iphone,
400,670,wait special convoy never touch down pretoria since yesterday trekk #wenogetpresident https,Iphone,Ask me
1475,1703,have never been president simply because read about past here caught,Iphone,
1063,1145,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,Nigeria
4987,3500,nigeria #wenogetpresident https cjqlijud,Android,Lagos  Nigeria
284,538,nigeria #wenogetpresident https cjqlijud,Android,Kaduna  Nigeria
898,637,yesterday osapa boys decided attack chinese american please this nonsense stop cause want,Android,
82,96,this nigeria like buhari retweet spongebob #wenogetpresident https hdfid,Iphone,Nigeria
69,71,like there time wastage with that,Android,
702,46,question your child misbehaves school teacher cuts hands what would https vyrozenac,Iphone,Abuja Nigeria
222,171,https cpoxfew just finished reading this aghast shocked offend this country https uojii,Web App,Abuja  Nigeria
4987,3500,people want buhari grow balls asking general time laugh even when head state,Android,Lagos  Nigeria
479,496,nigerian owned shops putting disclaimers wake attacks businesses nigeria #xenophobiainso,Android,Lagos Nigeria
1179,1400,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident https pvrydownfx,Web App,Earth
2405,1957,healthy chicken salad pasta packed with flavor protein veggies this healthy chicken salad pasta loaded https nshmwdly,Iphone,
621,77,#xenophobia angry nigerians office fire state video https vjdfvfdfg #wenogetpresident #wizkid #phyno zlatan,Android,Lagos  Nigeria
95,86,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,Lagos  Nigeria
17088,29610,nigeria pulls world economic forum holding south africa https emxay #xenophobicattacks https iaahkkb,BizWatchNigeria Tweets,Lagos  Nigeria
898,637,#wenogetpresident nigeria https naldzhq,Android,
99,17,#wenogetpresident,UberSocial for Android,Lagos
1133,370,clearly nigeria dire need leadership this critical point annals country this further reinfor,Android,Calabar
774,560,this supposed elections year buyers remorse #wenogetpresident trending https elxyr,Android,
19,0,#newtrafficrules #wenogetpresident #brexitmehole https,Android,
691,414,#xenophobiainsouthafrica said watch this cool message #saynotoxenophobia #saynotoxenophobicat,Web App,On your favorite playlist
1233,98,which striker better retweet lukaku like zlatan #wenogetpresident #burnaboy https mjsfnmosnj,Android,Greater Accra  Ghana
30260,68541,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Android,Jos  Nigeria
4987,3498,when sowore issue baba sharply arrested faced with bigger more serious issue baba,Android,Lagos  Nigeria
2524,1579,dear your officers supposed using robber bullet killing nigerian citize,Iphone,Nigeria
6487,6054,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Iphone,Everywhere
1922,2463,globacom like #wenogetpresident #stopkillingnigeriansinsa #saynotoxenophobia https xbfst,Iphone,Nigeria  Earth  Heavener  
1514,1551,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Iphone,lagos nigeria
479,496,nigerians aren done fresh pictures from akwa ibom mass fire while they start borro,Android,Lagos Nigeria
11263,10776,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Android,Curiosity killed the cat
404,91,only words best president nigerians ever #wenogetpresiden,Iphone,Abeokuta
4987,3500,looting shoprite smart move burning service centers will just doing ourselves harm because,Android,Lagos  Nigeria
646,530,nigerians burning offices please they shouldn forget that stupid lady that always shout have minute,Android,Nigeria
50,73,#wenogetpresident https mtkfi,Android,Lagos  Nigeria
342,1390,nigerian owned shops putting disclaimers wake attacks businesses nigeria #xenophobiainso,Android,Lagos  Nigeria
4230,2030,#wenogetpresident #saynotoxenophobia,Android,Nigeria
4987,3500,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Android,Lagos  Nigeria
474,495,respect ycee burna skales vector peruzzi zambia rwanda malawi standing nigeri,Iphone,Abuja  Nigeria
1475,1703,that voted buhari #wenogetpresident,Iphone,
1040,483,lest have forgetting trillion unremitted nnpc alone that expl,Iphone,Nigeria
898,637,thing this should know internet never forgets years come they could still pull this tweet fuck,Android,
265,396,buhari only reacts anything that threatens government ipob shite sowore #wenogetpresident,Android,Live on Twitter   
2360,317,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Android,United States
227,95,many nigerians travel greener pastures cause things working should here #wenogetpresident,Android,
265,347,this nigeria hope that time rest president forever love,Web App,Abuja  Nigeria
573,302,when nigeria crash burns worried killed #wenogetpresident https iinxubqmfk,Android,Emlebs 
898,637,#wenogetpresident https xhtayxliou,Android,
562,82,special envoy their south africa #buharimustgo #wenogetpresident #wizkid #phyno #zlatan #saynotoxen,Android,
724,638,#dayorants about xenophobic attack reprisals #hardfacts with #nigeriainfoph #visualradio #nigeria #xenop,Web App,Port Harcourt   Enugu
106,46,zambian join #xenophobiainsouthafrica #wenogetpresident #saynotoxenophobia https gsovif,Web App,Dar es Salaam  Tanzania
1641,987,this area today recognise south africans like beat nigerian brother mistake #saynoto,Android,God s Earth
741,396,does even know anything about tweet that sent #wenogetpresident,Android,Federal Capital Territory  Nig
898,637,baba just burst brain #soundsultan #wizkid #burnaboy #zlatan #wenogetpresident #xenophobiainsouthafrica #saynotoxe,Android,
292,50,indeed south africa wants might nigeria them kill just repeat them kill just https wyqveewy,Iphone,
871,1566,just look this fool,Web App,Abuja  Nigeria
2701,1056,lest have forgetting trillion unremitted nnpc alone that expl,Android,Lagos Nigeria
3225,2246,this part brain left side right side left side there nothing right right,Android,Nigeria
238,1362,sporadic shooting ongoing apapa mall angry nigerians besiege mall burn shoprite here,Android,Itinerant
284,538,abacha evil dictator pretty sure were alive this time envoy would troops,Android,Kaduna  Nigeria
4987,3500,this part brain left side right side left side there nothing right right,Android,Lagos  Nigeria
389,153,#wenogetpresident this useless hashtag should jagetsense shouldn like months didn https,Iphone,Lagos  Nigeria
391,264,your questions drive into deeper understanding really #wenogetpresident,Android,Federal Capital Territory  Nig
202,190,they knew great country before anymore #wenogetpresident https lvve,Web App,Lagos 
222,79,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Web App,earth
404,91,only president nigeria that true words,Iphone,Abeokuta
4987,3500,abacha evil dictator pretty sure were alive this time envoy would troops,Android,Lagos  Nigeria
4506,3558,even trump future black south africans worst humans planet earth #wenogetpresident https,Android,CrossRiver State  Nigeria 
479,496,even #wenogetpresident mean sense make stop this destruction private property,Android,Lagos Nigeria
211,164,which would prefer burnt dodo like #xenophobiainsouthafrica #saynotoxenophobiaattacks #wenoge,Android,Lagos  Nigeria
1679,1493,thread boycott dstv simply because premier league download data friendly stre,Iphone,Nairobi
113,151,when worried about #xenophobiainsouthafrica they thinking about #wenogetpresident https,Iphone,Abuja  Nigeria
2925,6804,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Iphone,Centre  Cameroon
4987,3500,feel like this country would have improved drastically only president yaradua could have said today,Android,Lagos  Nigeria
1042,492,remember this #wenogetpresident https iycngdtk,Android,Akure
898,638,fighting battle commoners #wenogetpresident https uoifqijz,Android,
3466,5105,looking south africans nigeria synagogue church nations they full there never,Android,
479,496,common north west east south aside religion tribe politics come together sole purpo,Android,Lagos Nigeria
4987,3500,buhari addressed nation even ramaphosa spoke country personally cancelled trip south afri,Android,Lagos  Nigeria
1754,1575,have never been president simply because read about past here caught,Android,
2701,1056,people want buhari grow balls asking general time laugh even when head state,Android,Lagos Nigeria
4113,785,nigerians this same energy using burn down looting shoprite closing offices holding,Android,owerri Nigeria 
33,31,best travel adapter planet with built power bank charge even when there light https rqiygtgsau,Iphone,
479,496,understanding again everyone work insulting president well then remember,Android,Lagos Nigeria
215,141,globacom like #wenogetpresident #stopkillingnigeriansinsa #saynotoxenophobia https eizko,Android,Warri  South south Nigeria
730,965,this indication what come enemy average nigerian govt your fancy,Iphone,Melbourne  Victoria
898,638,dear your officers supposed using robber bullet killing nigerian citize,Android,
228,167,globacom like #wenogetpresident #stopkillingnigeriansinsa #saynotoxenophobia https eizko,Android,
1077,1536,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Android,Nigeria
5892,5862,guys forget #wenogetpresident #saynotoxenophobicattacks know shatta bandles birthd https aaqumovwwb,Web App,Southside  AL
4987,3500,nigeria travelled just take care your family doing legit business after while killed,Android,Lagos  Nigeria
1575,2203,this country needs reset #wenogetpresident,Android,Delta  Nigeria
5002,2694,part ogene night vigil igbo said done #wenogetpresident concerned comp,Android,Akwa Ibom  Nigeria
61,83,once stand with dino #wenogetpresident https umait kqwb,Android,Lagos
1250,1282,those people preaching preaching when other people venting pray never gets door step trauma that,Android,Lagos  Nigeria
1864,1818,when worried about #xenophobiainsouthafrica they thinking about #wenogetpresident https,Android,
206,99,#dearmrpresident #wenogetpresident hope know just listen buhari spokesman hear nonsense said govt,Android,Nigeria
898,638,what country #wenogetpresident https ifwd tkxf,Android,
2405,1957,healthy chicken salad pasta packed with flavor protein veggies this healthy chicken salad pasta loaded with,Iphone,
942,1048,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Android,Check my media
269,27,which would prefer burnt dodo like #xenophobiainsouthafrica #saynotoxenophobiaattacks #wenoge,Iphone,Nigeria
10270,10539,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Web App,Sugar Land  TX
4532,3718,nigerians kill buhari govt concerned blabla nigerian killed police house,Android,Somewhere
821,157,inappropriate president address nation time like this #xenophobiainsouthafrica #saynotoxen,Iphone,
81,151,xenophobia #wenogetpresident trends twitter https eczwhauxt #nigerians #nigeria #saynotoxenophobia,Android,
479,496,yesterday osapa boys decided attack chinese american please this nonsense stop cause want,Android,Lagos Nigeria
246,461,seems president finally woken #wenogetpresident,Iphone,
1953,1819,another video inspired this your problem prolly bigger than video others,Android,Accra  Ghana
198,59,only words best president nigerians ever #wenogetpresiden,Android,Jos
113,151,lest have forgetting trillion unremitted nnpc alone that expl,Iphone,Abuja  Nigeria
199,46,better opportunity face fight government #wenogetpresident,Web App,
5150,5274,solution xenophobic attack nigerians living south africa since #wenogetpresident expel south african ambassad,Android,
898,638,special envoy #wenogetpresident https ebxgijm,Android,
4879,3390,people pushed nigerian government recall nigerian ambassador south africa what about citizens there,Android,Lagos  Nigeria
1459,1745,nigerians this same energy using burn down looting shoprite closing offices holding,Iphone,Lagos  Nigeria
206,2582,xenophobia tells staff stay safe directed workers stay home view ongoing https yjkjkf,Web App,Abuja
6487,6054,went angry still woke very angry this madness needs stop think longer news,Iphone,Everywhere
2925,6804,clearly nigeria dire need leadership this critical point annals country this further reinfor,Iphone,Centre  Cameroon
5893,5862,guys forget #wenogetpresident #saynotoxenophobicattacks know shatta bandles birthday today,Web App,Southside  AL
87,33,imagine #wenogetpresident https iwre,Iphone,Lagos  Nigeria 
1351,1396,messing with nigerians beginning destruction south africa other africa country stop south africa https kuos,Android,Ogun  Nigeria
2704,3344,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Android,Federal Capital Territory  Nig
8,2,#xenophobiainsouthafrica #wenogetpresident #burnaboy #wizkid #ycee #mtnmustgo https ekhtph,Web App,
619,1701,were there,Android,Prince Edward Island  Canada
4506,3558,when iran shot down america drone earlier this year donald trump lament twitter within hour ordinary,Android,CrossRiver State  Nigeria 
517,124,nigerians insults kate henshaw over xenophobia comments read here https antsxxdmjv #wenogetpresid,Android,Lagos  NIGERIA
1226,1524,xenophobic attack nigerians south africa best nigerians tackle destroying south african fran,Iphone,
7765,7963,when nigeria crash burns worried killed #wenogetpresident https iinxubqmfk,Android,Born October   
621,77,things must during your youth service nysc https carqqdtfg #wenogetpresident #wizkid #phyno #xenophobiainsouthafrica,Android,Lagos  Nigeria
211,301,healthy chicken salad pasta packed with flavor protein veggies this healthy chicken salad pasta loaded with,Iphone,Lagos  Nigeria
2282,3919,zambian join #xenophobiainsouthafrica #wenogetpresident #saynotoxenophobia https gsovif,Android,Ghost Mode
2462,1442,certainly #wenogetpresident waiting judiciary save nation from this chance taxi,Android,Abuja  Nigeria
630,760,globacom like #wenogetpresident #stopkillingnigeriansinsa #saynotoxenophobia https eizko,Android,Kano  Nigeria
21,2,#xenophobiainsouthafrica #newtrafficrules #wenogetpresident #brexitmehole https qjghfkiwzg,Android,Bangkok  Thailand
355,118,#twitter #soarwithwheein #pertaminauntukpelanggan #redvelvetinjakarta #giveawaygarbol #viral #explorationinsg https ahwrq,Android,pekanbaru
1687,1774,this part brain left side right side left side there nothing right,Android,Lagos  Nigeria
555,127,#wenogetpresident should also unite like this fight against corruption impunity poverty nigeria https jgbrtz,Android,Lagos  Nigeria
594,195,another video inspired this your problem prolly bigger than video others,Web App,Brasil
355,458,which would prefer burnt dodo like #xenophobiainsouthafrica #saynotoxenophobiaattacks #wenoge,Android,
1933,1316,nigerian owned shops putting disclaimers wake attacks businesses nigeria #xenophobiainso,Android,Benin City  Nigeria
247,80,this sowore xenophobic attack best ever this responsible president should just watch #revol,Web App,
350,371,this part brain left side right side left side there nothing right right,Android,Kenya
3014,1310,this part brain left side right side left side there nothing right right,Android,Lagos  Nigeria
2578,2552,another video inspired this your problem prolly bigger than video others,Android,
1187,837,#wenogetpresident they kill back killing they steal from back stealing from twice victim,Android,Abuja  Nigeria
1876,1945,those people preaching preaching when other people venting pray never gets door step trauma that,Android,Eko Miami
1522,1721,looking south africans nigeria synagogue church nations they full there never,Android,Ibadan
1619,574,only words best president nigerians ever #wenogetpresiden,Iphone,
106,71,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Web App,Lagos  Nigeria
768,581,save bigbrother south african this year like this biggie morning house mates,Android,
47,9,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Iphone,
1212,1127,people want buhari grow balls asking general time laugh even when head state,Android,Wakanda  
489,173,have said #burna #tiwasavage #whoisaka #wenogetpresident #wizkid,Web App,Nigeria
1815,1781,this sowore xenophobic attack best ever this responsible president should just watch #revol,Android,somewhere in Nigeria 
154,14,imagine this well entitled opinion that doesn make sensible,Web App,
47,9,wait special convoy never touch down pretoria since yesterday trekk #wenogetpresident https,Iphone,
106,26,useless govt misplaced priorities #saynotoxenophobia #wenogetpresident https,Android,Warri
281,303,#wenogetpresident #buhariisincompetent,Android,Lagos  Nigeria
558,393,#wenogetpresident when someone tired truly nothing will ever right dangerous wish stops there,Android, Nigeria
80,234,when nigeria crash burns worried killed #wenogetpresident https iinxubqmfk,Iphone,On Transit   
4113,785,this part brain left side right side left side there nothing right right,Android,owerri Nigeria 
569,244,this sowore xenophobic attack best ever this responsible president should just watch #revol,Web App,lagos state
467,228,this part brain left side right side left side there nothing right right,Iphone,Abuja  Nigeria
2542,2464,illiterate foolish people attacking whole mall because they call whole building shoprite #wenogetpresident,Iphone,Lagos  Nigeria
94,24,#wenogetpresident #saynotoxenophobicattack,Android,Lagos  Nigeria
3225,2246,once stand with dino president slow react dull lead this lack proaction important issue,Android,Nigeria
1699,1501,somebody tell mark adenuga that burning down mask make network runs faster they peopl https jxmb,Android,Kano  Nigeria
292,50,compare contrast this leaders,Iphone,
2157,1792,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Web App,Rivers  Nigeria
219,55,wait special convoy never touch down pretoria since yesterday trekk #wenogetpresident https,Web App,Lagos  Nigeria
158,555,thread boycott dstv simply because premier league download data friendly stre,Android,Kano   Jigawa   Abuja 
264,73,they knew great country before anymore #wenogetpresident https lvve,Iphone,
76,153,brother house good morning housemates housemates good morning biggie https rwcaaukvh,Android,Calabar  Nigeria
309,51,#wenogetpresident,Android,Nigeria
1581,1035,goodluck buhari reaction south africa #wenogetpresident https,Iphone,Abuja  Nigeria
26,0,#wenogetpresident#where https weksv,Android,Victoria Island  Nigeria
1364,996,long citizens touching cows buhari bothered usually wonder fulani people loves https hgxwy,Mobile Web  M,Islam
4940,4955,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Android,My Inner Sanctum 
1164,1184,this sowore xenophobic attack best ever this responsible president should just watch #revol,Android,Lagos  Nigeria
74,30,this sowore xenophobic attack best ever this responsible president should just watch #revol,Android,ilaro 
1517,1797,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Android,
47,22,people want buhari grow balls asking general time laugh even when head state,Web App,Lagos Nigeria 
2833,1267,save bigbrother south african this year like this biggie morning house mates,Android,Nigeria  sokoto
2484,2502,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Android,Katsina  Nigeria
132,85,last nigeria withdraws from nigeria joined rwanda malawi announcing withdrawal from,Android,Lagos  Nigeria
726,285,just imagine burna president send drone pawon werey danu instead envoy https arssr,Android,Somewhere in Africa 
5,72,this sowore xenophobic attack best ever this responsible president should just watch #revol,Iphone,Malmo  Sweden
